,acidi grassi saturi totali | g,acido arachico | g,acido arachidonico | g,acido aspartico | g,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido eicosenoico | g,acido erucico | g,acido fitico | g,acido glutamico | g,acido glutammico | g,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | g,acido stearico | g,acqua | g,alanina | g,alcol | %,alcol | g,altri acidi grassi polinsaturi | g,amido | g,arginina | g,biotina | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,c4:0÷c10:0 | g,calcio | g,"calorie, ricalcolata con fibra | kcal","calorie, ricalcolata | kcal",carboidrati disponibili | g,carboidrati | %,cistina | g,cloro | g,colesterolo | g,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,folati totali | g,fosforo | g,fruttosio | g,galattosio | g,glicina | g,glucosio | g,indice chimico | g,iodio | g,isoleucina | g,istidina | g,lattosio (mse) | g,leucina | g,lipidi animali | g,lipidi totali | g,lipidi vegetali | g,lipidi | %,lisina | g,magnesio | g,maltosio (mse) | g,manganese | g,metionina | g,monoinsaturi totali | %,niacina | g,parte edibile | %,polinsaturi totali | %,potassio | g,prolina | g,proteine animali | g,proteine totali | g,proteine vegetali | g,proteine | %,rame | g,rapporto polinsaturi/saturi | g,riboflavina | g,saccarosio (mse) | g,saturi totali | %,selenio | g,serina | g,sodio | g,"somma degli acidi butirrico, caproico, caprilico e caprico | g",tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina b12 | g,vitamina b6 | g,vitamina c | g,vitamina d | g,"vitamina e, aggiunta | g",vitamina k | g,zinco | g,zolfo | g,zuccheri solubili | g,ß-carotene equivalente | g
pepe nero,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.97,0.16,0.0,0.0,1.01,0.0,0.0,0.0,0.0,10.5,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.4370000000000001,270.0,217.0,38.3,,0.0,0.0,0.0,0.0,0.0289,,,26.5,1e-05,0.173,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3.3,,0.0,0.0,0.0,0.0,0.0,1.01,0.0011,100.0,1.13,1.259,0.0,0.0,10.9,10.9,,0.0,,0.00023999999999999998,0.0,,0.0,0.0,0.044000000000000004,0.0,0.00011,0.0,0.0,0.0,0.0,0.0,0.0,0.00033999999999999997,0.021,0.0,0.00103,0.0,0.0014,0.0,38.3,0.000114
sogliola surgelata,0.17,0.0,0.17,1.8130000000000002,0.0,0.3,0.2,0.05,0.01,,,2.7260000000000004,0.0,0.0,0.07,0.03,0.0,0.12,0.11,0.07,0.00086,0.03,79.4,1.01,,0.0,0.0,0.0,1.045,1e-06,,,,,,,,,,,,,,,,,,0.011000000000000001,81.0,81.0,0.1,,0.135,0.14,0.025,0.6609999999999999,0.0004,,,0.0,5e-06,0.17400000000000002,0.0,0.0,0.733,0.1,,3e-05,0.836,0.466,0.0,1.368,1.3,1.3,0.0,,1.658,0.019,0.0,4e-05,0.40299999999999997,0.25,0.0038,48.0,0.73,0.28,0.586,17.3,17.3,0.0,,0.0002,,0.00011999999999999999,0.0,,3.6e-05,0.789,0.12,0.0,8e-05,0.638,0.812,0.222,0.924,0.0,2e-06,0.00018999999999999998,0.0,0.0,0.0004,0.0,0.0015,0.2,0.1,0.0
focaccia,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.58,0.16,0.0,0.0,7.84,0.0,0.0,0.0,0.0,28.5,0.0,,0.0,0.0,30.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.009000000000000001,302.0,292.0,40.7,,0.0,0.0,0.0,0.0,0.0,,,4.9,5.5e-05,0.039,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.8,11.8,,0.0,0.0,0.0,0.0,0.0,7.93,0.0013000000000000002,100.0,1.74,0.128,0.0,0.0,8.4,8.4,,0.0,,8e-05,0.0,,0.0,0.0,0.218,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.00013000000000000002,0.001,0.0,0.0005099999999999999,0.0,0.0005,0.0,9.9,0.0
"piselli in scatola, sgocciolati",0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.08,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,76.0,0.0,,0.0,0.0,4.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.03,75.0,56.0,6.8,,0.0,0.0,0.0,0.0,0.0017,,,9.7,2e-05,0.073,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,,0.0,0.0,0.0,0.0,0.0,0.24,0.0021000000000000003,67.0,0.08,0.128,0.0,0.0,5.8,5.8,,0.0,,0.0001,0.0,,0.0,0.0,0.306,0.0,0.00013000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,5.9999999999999995e-05,0.008,0.0,0.00022,0.0,0.0011,0.0,2.0,0.0003
pasta di olive,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.35,0.25,0.0,0.0,24.09,0.0,0.0,0.0,0.0,52.2,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.063,336.0,331.0,4.5,,0.0,0.0,0.0,0.0,0.0032,,,2.2,0.0,0.023,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,34.3,34.3,,0.0,0.0,0.0,0.0,0.0,24.41,0.0011,100.0,3.6,0.258,0.0,0.0,1.4,1.4,,0.0,,8.999999999999999e-05,0.0,,0.0,0.0,1.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.018000000000000002,0.0,0.0023,0.0,0.0004,0.0,4.5,0.00016199999999999998
"wakame, secca",0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.04,0.01,0.0,0.0,0.08,0.0,0.0,0.0,0.0,12.2,0.0,,0.0,0.77,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.66,165.0,71.0,0.0,,0.0,0.0,0.0,0.0,0.0116,,,47.1,0.000196,0.31,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,,0.0,0.0,0.0,0.0,0.0,0.22,0.0046,100.0,0.82,0.22,0.0,0.0,12.4,12.4,,0.0,,0.00014,0.0,,0.0,0.0,3.22,0.0,0.00011,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.015,0.0,0.001,0.0,0.0017,0.0,0.0,0.0005149999999999999
burro di arachidi,10.62,0.72,0.0,2.755,1.28,0.0,0.0,0.72,0.0,,,4.721,0.0,13.45,0.0,0.0,0.0,26.49,5.8,0.0,0.0015600000000000002,2.82,1.1,0.897,,0.0,0.0,6.4,2.702,9.4e-05,,,,,,,,,,,,,,,,,,0.037000000000000005,636.0,623.0,13.1,,0.289,0.5,0.0,1.171,0.0021000000000000003,,,6.8,5.3e-05,0.33,0.0,0.0,1.3619999999999999,0.0,,0.0,0.794,0.5710000000000001,0.0,1.465,0.0,53.7,53.7,,0.8109999999999999,0.18,0.0,0.0017,0.27699999999999997,27.21,0.0125,100.0,13.45,0.7000000000000001,0.997,0.0,22.6,22.6,,0.0007,,8.999999999999999e-05,6.7,,3e-06,1.113,0.35000000000000003,0.0,0.00016999999999999999,0.9179999999999999,0.773,0.21899999999999997,0.947,0.0,0.0,0.00058,0.0,0.0,0.0049900000000000005,0.0,0.003,0.33,6.7,0.0
arachidi tostate,7.13,0.56,0.0,3.736,0.0,0.0,0.0,0.52,0.0,,,5.9670000000000005,0.0,13.74,0.45,0.23,0.0,22.53,5.06,0.0,0.00159,1.28,2.3,1.263,,0.0,0.0,5.4,3.68,0.00013000000000000002,,,,,,,,,,,,,,,,,,0.064,620.0,598.0,8.5,,0.39,0.006999999999999999,0.0,1.598,0.0035,,,10.9,4.4e-05,0.28300000000000003,0.0,0.0,1.8559999999999999,0.0,,1.9e-05,1.0859999999999999,0.772,0.0,2.092,0.0,50.0,50.0,,1.15,0.17500000000000002,0.0,0.0022,0.33399999999999996,23.05,0.013999999999999999,65.0,14.19,0.68,1.4780000000000002,0.0,29.0,29.0,,0.001,,8e-05,3.1,,3e-06,1.4280000000000002,0.006,0.0,0.00016,1.349,0.884,0.318,1.404,0.0,0.0,0.00054,0.0,0.0,0.0011099999999999999,3.1e-07,0.0035,0.38,3.1,0.0
birra chiara speciale (5.3 - 6.0 %vol),0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,,,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9999999999999997e-05,0.0,91.8,0.006999999999999999,,4.4,0.0,0.0,0.006,1e-06,,,,,,,,,,,,,,,,,,0.001,45.0,45.0,3.5,,0.002,0.02,0.0,0.004,0.0,,,0.0,1.2e-05,0.027999999999999997,0.0,0.0,0.006,1.2,,1e-06,0.003,0.003,0.0,0.004,0.0,0.0,0.0,,0.005,0.006999999999999999,2.3,1e-05,0.001,0.0,0.0009000000000000002,100.0,0.0,0.035,0.02,0.0,0.2,0.2,,2.9999999999999997e-05,,2.9999999999999997e-05,0.0,,0.0,0.003,0.01,0.0,0.0,0.01,0.003,0.002,0.006,0.0,0.0,5.9999999999999995e-05,0.001,0.0,0.0,0.0,0.0,0.01,3.5,0.0
"succo di barbabietola, fresco",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.013999999999999999,18.0,14.0,2.9,,0.0,0.0,0.0,0.0,0.0003,,,1.9,7.2e-05,0.015,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.00014,100.0,0.0,0.214,0.0,0.0,0.8,0.8,,0.0,,1e-05,0.0,,0.0,0.0,0.06,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.005,0.0,0.0,0.0,0.00029,0.0,2.9,0.0
insalata ns,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.09,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,92.6,0.0,,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.073,19.0,14.0,1.5,,0.0,0.0,0.0,0.0,0.0023,,,2.1,5.600000000000001e-05,0.034,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,,0.0,0.0,0.0,0.0,0.0,0.01,0.0004,81.0,0.14,0.28400000000000003,0.0,0.0,1.5,1.5,,0.0,,0.00025,0.0,,0.0,0.0,0.011000000000000001,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.9999999999999997e-05,0.023,0.0,0.00059,0.0,0.0003,0.0,1.5,0.001444
cernia,0.16,0.0,0.02,1.8319999999999999,0.0,0.15,0.02,0.02,0.01,,,2.6710000000000003,0.0,0.01,0.01,0.01,0.0,0.1,0.12,0.02,0.00075,0.03,78.0,1.082,,0.0,0.01,0.0,1.07,5e-06,,,,,,,,,,,,,,,,,,0.011000000000000001,80.0,80.0,0.6,,0.192,0.09699999999999999,0.037000000000000005,0.6980000000000001,0.0003,,,0.0,9e-06,0.128,0.0,0.0,0.8590000000000001,0.6,,2e-05,0.8250000000000001,0.526,0.0,1.455,0.7,0.7,0.0,,1.643,0.031,0.0,1e-05,0.53,0.14,0.0004,41.0,0.22,0.483,0.633,17.9,17.9,0.0,,2e-05,,0.00011999999999999999,0.0,,3.7e-05,0.731,0.053,0.0,4e-05,0.604,0.784,0.2,0.922,0.0,6e-07,0.0003,0.0,0.0,0.0005,0.0,0.0005,0.2,0.6,0.0
tempeh,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.18,0.43,0.0,0.0,1.39,0.0,0.0,0.0,0.0,61.0,0.0,,0.0,0.0,4.6,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,173.0,164.0,6.4,,0.0,0.0,0.0,0.0,0.0036000000000000008,,,4.1,7.599999999999999e-05,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.4,,0.0,0.0,0.0,0.0,0.0,1.41,0.0032,100.0,3.61,0.37,0.0,0.0,20.7,20.7,,0.0,,0.00047999999999999996,0.0,,0.0,0.0,0.006,0.0,0.00018999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.00186,0.0,0.0,0.0,0.0,0.0018000000000000004,0.0,0.9,3e-05
miso,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.07,0.41,0.0,0.0,1.35,0.0,0.0,0.0,0.0,42.9,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.073,208.0,197.0,23.5,,0.0,0.0,0.0,0.0,0.004200000000000001,,,5.4,3.3e-05,0.16,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.2,6.2,,0.0,0.0,0.0,0.0,0.0,1.36,0.0011,100.0,3.48,0.16,0.0,0.0,13.3,13.3,,0.0,,0.00018999999999999998,0.0,,0.0,0.0,3.65,0.0,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00021,0.0,0.0,1e-05,0.0,0.0033,0.0,0.0,5.400000000000001e-05
rhum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3,0.0,,31.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,222.0,222.0,0.0,,0.0,0.0,0.0,0.0,0.0001,,,0.0,0.0,0.005,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,100.0,0.0,0.002,0.0,0.0,0.0,0.0,,5e-05,,0.0,0.0,,0.0,0.0,0.001,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.000000000000001e-05,0.0,0.0,0.0
dolcificante a base di saccarina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,370.0,370.0,98.6,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.6,0.0
funghi porcinelli,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.06,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.5,0.0,,0.0,0.0,0.3,0.0,0.0,,,,,,,,,,,,,,,,,,0.002,37.0,24.0,1.6,,0.0,0.0,0.0,0.0,0.0016,,,6.5,4.4e-05,0.083,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.004900000000000001,70.0,0.33,0.36,0.0,0.0,3.1,3.1,,0.0,,0.00044,0.0,,0.0,0.0,0.002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.00017999999999999998,0.006999999999999999,3.1e-06,0.00011999999999999999,0.0,0.0001,0.0,1.3,0.0
marmellata di arance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.035,262.0,261.0,69.5,,0.0,0.0,0.0,0.0,0.0006,,,0.7,5e-06,0.013,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.044000000000000004,0.0,0.0,0.1,0.1,,0.0,,0.0,0.0,,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0001,0.0,69.5,5e-05
biscotti 'petit beurre',4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.3,0.12,0.0,0.0,2.07,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.01,54.6,0.0,0.0,,,,,,,,,,,,,,,,,,0.032,416.0,415.0,84.7,,0.0,0.0,0.08700000000000001,0.0,0.001,,,0.4,6e-06,0.14400000000000002,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.6,8.2,1.6,,0.0,0.0,0.0,0.0,0.0,2.25,0.0009000000000000002,100.0,0.43,0.111,0.0,2.2,6.0,3.8,,0.0,,0.00014,0.0,,0.0,0.0,0.24100000000000002,0.0,0.00017999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.0014,0.0,0.0006,0.0,30.1,0.0
montasio,18.87,0.0,0.0,1.952,0.0,0.0,0.0,0.0,0.0,,,6.737,0.98,0.63,0.45,3.31,0.63,8.32,8.23,0.89,0.00035,3.49,32.0,0.897,,0.0,0.0,0.0,0.948,1.5e-06,,,,,,,,,,,,,,,,,,0.87,411.0,411.0,0.0,,0.147,1.08,0.1,1.5019999999999998,0.0003,,,0.0,1.2e-05,0.6900000000000001,0.0,0.0,0.535,0.0,,4.4e-05,1.5319999999999998,0.7809999999999999,0.0,2.642,32.2,32.2,0.0,,2.332,0.037000000000000005,0.0,0.0,0.89,9.84,4e-05,100.0,1.07,0.099,2.852,30.3,30.3,0.0,,0.00013000000000000002,,0.00039000000000000016,0.0,,1.3000000000000001e-05,1.492,0.757,2.86,2.9999999999999997e-05,1.579,0.951,0.36200000000000004,1.9409999999999998,0.000413,1.6e-06,0.00011,0.0,2.5e-07,0.0006900000000000001,0.0,0.0023,0.2,0.0,0.0001
spinaci in scatola,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.03,0.17,0.0,0.0,0.01,0.0,0.0,0.0,0.0,91.8,0.0,,0.0,0.01,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.12,25.0,19.0,0.8,,0.0,0.0,0.0,0.0,0.0019,,,3.1,9.8e-05,0.036000000000000004,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,,0.0,0.0,0.0,0.0,0.0,0.01,0.0004,63.0,0.21,0.29,0.0,0.0,2.8,2.8,,0.0,,5e-05,0.0,,0.0,0.0,0.2,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.013999999999999999,0.0,0.0017100000000000001,0.0,0.0005,0.0,0.8,0.003455
"coniglio, carne semigrassa",2.1,0.0,0.0,2.187,0.0,0.0,0.0,0.0,0.0,,,3.484,0.0,0.49,0.09,0.14,0.0,0.94,1.5,0.11,0.0008,0.46,70.9,1.379,,0.0,1.05,0.0,1.43,1e-06,,,,,,,,,,,,,,,,,,0.017,138.0,138.0,0.5,,0.25,0.07400000000000001,0.065,0.932,0.0013000000000000002,,,0.0,5e-06,0.18,0.0,0.0,1.114,0.5,,5e-06,1.127,0.622,0.0,1.8519999999999999,5.3,5.3,0.0,,1.943,0.026,0.0,1e-05,0.604,1.05,0.0037,68.0,1.63,0.36,0.952,22.1,22.1,0.0,,7.000000000000001e-05,,0.00011,0.0,,2e-05,0.898,0.067,0.0,0.00016999999999999999,0.7509999999999999,0.961,0.214,1.33,0.0,1e-05,0.0005,0.0,0.0,0.00013000000000000002,0.0,0.0045000000000000005,0.19,0.5,0.0
biscotti ricoperti al cioccolato,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.54,0.06,0.0,0.0,15.82,0.0,0.0,0.0,0.0,2.2,0.0,,0.0,0.0,24.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.11,530.0,524.0,67.4,,0.0,0.0,0.002,0.0,0.0017,,,2.9,5e-06,0.13,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,20.4,27.6,7.2,,0.0,0.0,0.0,0.0,0.0,15.85,0.0005,100.0,3.6,0.23,0.0,2.5,5.7,3.2,,0.0,,0.00013000000000000002,0.0,,0.0,0.0,0.16,0.0,2.9999999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.0,0.00143,0.0,0.0008,0.0,43.4,0.0
amari a bassa gradazione (tra 23 e 30 %vol),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,0.0,,19.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.005,261.0,261.0,32.8,,0.0,0.02,0.0,0.0,0.0001,,,0.0,0.0,0.006999999999999999,6.1,0.0,0.0,6.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.002,0.0,2e-05,0.0,0.0,0.0,100.0,0.0,0.034,0.0,0.0,0.0,0.0,,2e-05,,0.0,20.4,,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0.0
pomodori sott'olio,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.98,0.08,0.0,0.0,8.53,0.0,0.0,0.0,0.0,53.8,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.047,225.0,213.0,17.5,,0.0,0.0,0.0,0.0,0.0027,,,5.8,2.3e-05,0.139,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,14.1,14.1,,0.0,0.0,0.0,0.0,0.0,8.66,0.0036000000000000008,100.0,2.06,1.565,0.0,0.0,5.1,5.1,,0.0,,0.00037999999999999997,0.0,,0.0,0.0,0.266,0.0,0.00018999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,0.102,0.0,0.00193,0.0,0.0008,0.0,17.5,0.0007740000000000001
"castrato, carne grassa",14.35,0.0,0.0,1.391,0.0,0.0,0.0,0.0,0.0,,,2.285,0.03,0.7,0.7,1.48,0.0,10.53,6.67,0.37,0.0004,5.77,53.0,1.056,,0.0,0.0,0.0,1.11,2e-06,,,,,,,,,,,,,,,,,,0.008,332.0,332.0,0.0,,0.215,0.062,0.076,0.655,0.0016,,,0.0,1.1e-05,0.157,0.0,0.0,0.99,0.0,,8e-06,0.856,0.447,0.0,1.264,29.5,29.5,0.0,,1.338,0.017,0.0,1e-05,0.39399999999999996,11.16,0.0039,74.0,1.41,0.25,0.8230000000000001,16.5,16.5,0.0,,5e-05,,0.00016,0.0,,3e-06,0.6980000000000001,0.057999999999999996,0.03,0.00011999999999999999,0.54,0.774,0.21,0.8250000000000001,1.5e-05,1e-06,0.00033999999999999997,0.0,4e-07,7.000000000000001e-05,0.0,0.0019,0.16,0.0,0.0
"farina di soia, a basso contenuto lipidico",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.58,0.51,0.0,0.0,1.72,0.0,0.0,0.0,0.0,7.0,0.0,,0.0,0.0,14.8,0.0,0.0,,,,,,,,,,,,,,,,,,0.24,378.0,352.0,28.2,,0.0,0.0,0.0,0.0,0.0091,,,13.3,0.00041,0.64,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,,0.0,0.0,0.0,0.0,0.0,1.74,0.0024,100.0,4.09,2.03,0.0,0.0,45.3,45.3,,0.0,,0.00029,0.0,,0.0,0.0,0.013999999999999999,0.0,0.0009000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0005200000000000001,0.0,0.0,0.0002,0.0,0.0032,0.0,13.4,2.4e-05
cetrioli in salamoia,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,0.0,,0.0,0.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,0.02,17.0,14.0,2.6,,0.0,0.0,0.0,0.0,0.0007,,,1.2,6e-06,0.022000000000000002,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,67.0,0.04,0.11,0.0,0.0,0.9,0.9,,0.0,,2e-05,0.0,,0.0,0.0,0.6900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.001,0.0,0.00016,0.0,0.0003,0.0,2.4,2e-06
birra leggera o light (2.5 - 3.4 %vol),0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,96.1,0.008,,2.0,0.0,0.0,0.006999999999999999,1e-06,,,,,,,,,,,,,,,,,,0.01,21.0,21.0,1.6,,0.002,0.034,0.0,0.005,0.0,,,0.0,5e-06,0.012,0.0,0.0,0.006999999999999999,0.0,,1e-06,0.004,0.004,0.0,0.005,0.0,0.0,0.0,,0.005,0.008,1.6,0.0,0.001,0.0,0.0,100.0,0.0,0.033,0.023,0.0,0.2,0.2,,5e-05,,2.9999999999999997e-05,0.0,,0.0,0.004,0.011000000000000001,0.0,0.0,0.012,0.004,0.003,0.006999999999999999,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,1.6,0.0
"arance, scorza",0.02,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.0,,,0.212,0.0,0.03,0.01,0.0,0.0,0.03,0.02,0.01,0.00049,0.0,72.5,0.109,,0.0,0.0,0.0,0.111,1e-06,,,,,,,,,,,,,,,,,,0.161,83.0,62.0,14.4,,0.021,0.003,0.0,0.064,0.0008,,,10.6,3e-05,0.021,4.1,0.0,0.17800000000000002,3.7,,2e-06,0.049,0.026,0.0,0.047,0.0,0.2,0.2,,0.092,0.022000000000000002,0.0,0.0,0.026,0.04,0.0009000000000000002,100.0,0.04,0.212,0.096,0.0,1.5,1.5,,8.999999999999999e-05,,8.999999999999999e-05,6.6,,1e-06,0.049,0.003,0.0,0.00011999999999999999,0.036000000000000004,0.026,0.013,0.066,0.0,0.0,0.00017999999999999998,0.136,0.0,0.00025,5e-08,0.00025,0.01,14.4,0.000252
