,calcio | g,ferro | g,fosforo | g,magnesio | g,potassio | g,rame | g,selenio | g,zinco | g,grassi saturi totali | g,c4:0\÷c10:0 (laurico) | g,c12:0 (laurico) | g,c14:0 (miristico) | g,c16:0 (palmitico) | g,c18:0 (stearico) | g,c20:0 (arachidico) | g,c22:0 (beenico) | g,grassi monoinsaturi totali | g,c14:1 (miristoleico) | g,c16:1 (palmitoleico) | g,c18:1 (oleico) | g,c20:1 (eicosaenoico) | g,c22:1 (erucico) | g,grassi polinsaturi totali | g,c18:2 w6 (linoleico) | g,c18:3 w3 (linolenico) | g,c20:4 w6 (arachidonico) | g,c20:5 w3 (eicosapentaenoico - epa) | g,c22:6 w3 (docosaesaenoico - dha) | g,rapporto polinsaturi/saturi | %,tiamina (b1) | g,riboflavina (b2) | g,niacina (b3) | g,vitamina a (retinolo eq.) | g,vitamina c | g,vitamina e | g,parte edibile | %,acqua | g,proteine | g,carboidrati | g,zuccheri solubili | g,amido | g,grassi | g,saturi | g,monoinsaturi | g,polinsaturi | g,fibra totale | g,fibra solubile | g,fibra insolubile | g,colesterolo | g,sodio | g,alcool | g,acido fitico | g,lisina | g,istidina | g,arginina | g,acido aspartico | g,treonina | g,serina | g,acido glutamico | g,prolina | g,glicina | g,alanina | g,cistina | g,valina | g,metionina | g,isoleucina | g,leucina | g,tirosina | g,fenilalanina | g,triptofano | g,indice chimico |,aminoacido limitante |,calorie | kcal
"biscotto con crema, zabaione e cioccolato",0.066,,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,36.3,5.3,49.1,,,7.3,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,271.00
trippa di bovino (bos taurus),0.008,0.004,0.05,0.008,0.018,8.999999999999999e-05,,0.0024700000000000004,2.03,0.0,0.0,0.1,0.81,1.05,,,1.31,,0.08,1.15,0.0,0.0,0.07,0.05,0.02,0.02,0.0,0.0,0.0,0.00014000000000000001,0.00017999999999999998,0.0016,0.0,0.003,8e-05,100.0,72.0,15.8,0.0,0.0,0.0,5.0,2.03,1.31,0.07,0.0,0.0,0.0,0.095,0.107,0.0,0.0,999.99,363.0,995.0,999.99,503.0,669.0,999.99,999.99,999.99,925.0,168.0,613.0,315.0,589.0,948.0,396.0,471.0,114.0,70,triptofano,108.00
loti o kaki (diospyros kaki),0.008,0.0003,0.016,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,2e-05,3e-05,0.0003,0.000237,0.023,,97.0,82.0,0.6,16.0,16.0,0.0,0.3,,,,2.5,0.1,2.43,0.0,0.004,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,65.00
cocktail di frutta sciroppata,0.005,0.0003,0.009,,0.095,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,2e-05,1e-05,0.0004,,0.004,,100.0,81.8,0.4,14.8,14.8,0.0,,,,,1.0,,,0.0,0.003,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,57.00
pane di tipo integrale,0.025,0.0025,0.18,0.081,0.227,0.00022,0.031,0.00135,2.0,,,,,,,,0.6,,,,,,2.0,,,,,,,0.0001,0.00012,,0.0,0.0,,100.0,36.6,7.5,48.5,,,1.3,2.0,0.6,2.0,6.5,1.15,5.36,0.0,0.486,0.0,,235.0,196.0,357.0,433.0,256.0,419.0,999.99,918.0,334.0,311.0,191.0,385.0,152.0,332.0,603.0,252.0,419.0,111.0,46,lisina,224.00
yogurt parzialmente scremato bianco,0.12,0.0001,0.094,,0.149,,,,0.95,0.14,0.05,0.16,0.45,0.15,0.0,0.0,0.38,0.0,0.03,0.35,0.0,0.0,0.05,0.04,0.01,0.0,0.0,0.0,0.1,4e-05,0.00017999999999999998,0.0001,2.1e-05,0.001,6e-05,100.0,89.0,3.4,3.8,3.8,0.0,1.7,0.95,0.38,0.05,0.0,0.0,0.0,0.008,0.045,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,43.00
"aragosta, bollita (palinurus elephas)",0.074,0.001,0.35,0.022,,0.0005,0.068,0.00275,0.6,,,,,,,,0.9,,,,,,0.5,,,,,,,0.007,6e-05,0.00107,,0.0,0.001,,72.4,20.2,1.3,1.3,0.0,2.4,0.6,0.9,0.5,0.0,0.0,0.0,0.085,0.38,0.0,0.0,,,,,,,,,,,,,,,,,,,106,istidina,107.00
"gelato confezionato- sorbetto al limone, in vaschetta",0.002,,0.005,,0.042,,,,,0.0,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,,4e-05,,0.0,,,100.0,64.9,0.9,34.2,34.2,0.0,,,,,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,132.00
pasta all'uovo secca,0.022,0.0021000000000000003,0.199,,0.164,,,,,,,,,,,,,,,,,,,,,,,,,0.00014000000000000001,0.00019,,3.5e-05,0.0,,100.0,12.5,13.0,77.9,2.0,69.0,2.4,,,,3.2,,,0.094,0.017,0.0,,354.0,246.0,513.0,633.0,393.0,689.0,999.99,999.99,367.0,415.0,285.0,587.0,239.0,490.0,897.0,339.0,593.0,126.0,47,Lis.,366.00
"minestre in scatola, crema di pollo",0.027,0.0004,0.027,,0.041,,,,,,,,,,,,,,,,,,,,,,,,,1e-05,3e-05,0.0002,0.0,0.0,,100.0,87.9,1.7,4.5,1.1,3.1,3.8,,,,,,,,0.46,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,58.00
cocco (cocos nucifera),0.013,0.0017,0.095,0.046,0.256,0.00032,0.0008,0.0005,30.93,5.19,16.18,5.36,3.05,0.81,0.34,0.0,2.38,0.0,0.14,2.24,0.0,0.0,0.61,0.61,0.0,0.0,0.0,0.0,0.0,5e-05,2e-05,0.0005,0.0,0.003,0.00073,52.0,50.9,3.5,9.4,9.4,0.0,35.0,30.93,2.38,0.61,9.0,,,0.0,0.023,0.0,0.00138,76.44,40.04,283.92,169.0,62.92,89.44,395.72,71.76,82.16,88.4,34.32,105.04,32.24,68.12,128.44,53.56,87.88000000000001,20.28,76,lisina,364.00
tonno al naturale sgocciolato (euthynnus pelamis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,24.0,0.0,0.0,0.0,0.6,,,,0.0,0.0,0.0,0.055,0.48,0.0,0.0,,,,,,,,,,,,,,,,,,,,,100.00
latte di pecora,0.18,0.0001,0.096,,0.182,,,,4.82,0.3,0.42,0.01,1.58,0.6,0.0,0.0,1.45,0.02,0.0,1.28,0.03,0.0,0.26,0.13,0.04,0.0,0.0,0.0,0.1,6e-05,0.00025,0.0005,5.3e-05,,,100.0,82.7,5.3,5.2,5.2,0.0,6.9,4.82,1.45,0.26,0.0,0.0,0.0,0.011,0.03,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,103.00
segale,0.033,0.00373,0.264,0.0353,0.121,0.00267,0.00031,0.374,0.28,0.0,0.0,3.0,0.27,9.0,,,0.3,,0.01,0.28,0.01,0.0,1.11,0.95,0.15,0.0,0.0,0.0,3.8,0.00025,0.0,0.0042699999999999995,0.0,0.0018700000000000001,0.00045000000000000004,100.0,10.95,14.76,55.16,,,2.5,0.28,0.3,1.11,14.6,,,0.0,0.006,,,605.0,367.0,813.0,999.99,532.0,681.0,999.99,999.99,701.0,711.0,329.0,747.0,248.0,549.0,980.0,339.0,674.0,154.0,0.0,,335.00
"patate novelle, cotte [in forno a microonde senza aggiunta di acqua e di sale] (solanum tuberosum)",,,,0.021,,0.00017,0.001,0.00086,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,1.4,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
succo di frutta,0.008,0.0003,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-05,3e-05,0.0003,,,,100.0,84.5,0.3,14.5,14.5,0.0,0.1,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,56.00
salmone al naturale in scatola (salmo salar),,,,,,,,,2.5,,,,,,,,4.8,,,,,,2.9,,,,,,,,,,,,,100.0,,21.0,,,,11.0,2.5,4.8,2.9,0.0,0.0,0.0,0.035,0.15,0.0,0.0,,,,,,,,,,,,,,,,,,,,,185.00
"animelle di bovino, cotte (bos taurus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,0.0,,,,,0.0,0.0,0.0,0.466,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"gomme da masticare, lastrine e confetti",,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3.5,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,263.00
zucchine (cucurbita pepo),0.021,0.0005,0.065,,0.264,,,,,,,,,,,,,,,,,,,,,,,,,8e-05,0.00012,0.0007,6e-06,0.011,,88.0,93.6,1.3,1.4,1.3,0.1,0.1,,,,1.2,,,0.0,0.022,0.0,,73.04,25.52,83.6,116.16,58.08,51.92,139.92,51.92,67.76,73.04,10.56,71.28,22.88,62.48,114.4,56.32,71.28,14.96,77,Treo.,11.00
halibut (hippoglossus hippoglossus),0.047,0.0008399999999999999,0.222,0.083,,2e-05,,0.00041999999999999996,0.32,0.0,0.0,0.05,0.21,0.04,,,0.75,,0.16,0.36,0.12,0.1,0.73,0.03,0.06,0.13,0.07,0.29,2.2,6e-05,7.000000000000001e-05,,,0.0,0.00085,80.0,74.5,20.6,0.0,0.0,0.0,3.5,0.32,0.75,0.73,0.0,0.0,0.0,0.05,0.054,0.0,0.0,799.9920000000001,490.40000000000003,799.9920000000001,799.9920000000001,729.6,679.2,799.9920000000001,588.8000000000001,799.2,799.9920000000001,178.4,799.9920000000001,492.8,767.2,799.9920000000001,562.4,650.4000000000001,186.4,100,triptofano,114.00
bovino adulto o vitellone - sottofesa - [tessuto muscolare privato del grasso visibile] (bos taurus),0.004,0.0018,0.206,0.018,0.342,5e-05,0.003,0.004,0.87,0.0,0.0,0.06,0.45,0.31,0.0,0.0,0.85,0.04,0.07,0.65,0.0,0.06,0.52,0.24,0.05,0.07,0.06,0.03,0.6,0.0001,0.00017,0.005,,0.0,,100.0,74.6,22.0,0.0,0.0,0.0,2.6,0.87,0.85,0.52,0.0,0.0,0.0,,0.041,0.0,0.0,999.99,849.0,999.99,999.99,898.0,900.0,999.99,904.0,999.99,999.99,240.0,999.99,631.0,950.0,999.99,779.0,898.0,246.0,100,Trip.,111.00
"tacchino, fesa (meleagris gallopavo)",0.008,0.0008,0.2,0.032,0.382,7.000000000000001e-05,0.007,0.0011,0.38,0.0,0.0,0.03,0.21,0.13,0.0,0.0,0.31,0.01,0.03,0.25,0.0,0.0,0.34,0.19,0.01,0.07,,0.03,0.9,0.0001,0.0002,0.0067,,0.0,,100.0,73.9,24.0,0.0,0.0,0.0,1.2,0.38,0.31,0.34,0.0,0.0,0.0,0.05,0.052000000000000005,0.0,0.0,999.99,922.0,999.99,999.99,999.99,999.99,999.99,893.0,999.99,999.99,283.0,999.99,698.0,999.99,999.99,814.0,970.0,286.0,100,Trip.,107.00
cicoria di campo cruda (cichorium intybus),0.074,0.0007,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,3e-05,0.00019,0.0003,0.00021899999999999998,0.017,,80.0,93.4,1.4,0.7,0.7,0.0,0.2,,,,3.6,,,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,10.00
"wurstel, cotto [saltato in padella senza aggiunta di grassi e di sale]",0.016,0.0014,,,0.164,,,,,,,,,,,,,,,,,,,,,,,,,0.00014000000000000001,0.00046,0.00405,,0.0,,100.0,51.8,16.4,1.3,0.0,1.2,26.9,,,,0.0,0.0,0.0,,0.93,0.0,0.0,999.99,456.0,999.99,999.99,647.0,695.0,999.99,999.99,999.99,999.99,165.0,869.0,349.0,688.0,999.99,488.0,613.0,120.0,66,Trip.,313.00
capperi,0.019,0.0009,0.02,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,0.0,0.0004,0.0,0.017,0.0,100.0,93.7,2.6,2.1,0.0,0.0,0.1,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5170000000000001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,20.00
mele fresche - deliziose (pyrus malus (malus pumila)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,,79.0,86.8,0.2,11.1,11.1,,0.1,,,,1.5,,,0.0,,0.0,6e-05,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,43.00
"cacao, bevanda al latte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,0.0,0.0,0.0,0.011,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,
"fagioli -borlotti secchi, cotti [bolliti in acqua distillata senza aggiunta di sale e scolati] (phaseolus vulgaris)",0.046,0.0023,0.127,,0.282,0.0002,0.006,0.0012,,,,,,,,,,,,,,,,,,,,,,0.00011,3e-05,0.0003,,0.0,,100.0,70.2,6.9,16.4,1.0,14.0,0.4,,,,6.9,0.61,6.28,0.0,0.002,0.0,,467.0,190.0,389.0,822.0,273.0,416.0,999.99,271.0,268.0,290.0,68.0,367.0,74.0,369.0,563.0,253.0,394.0,66.0,82,Solf.,93.00
taleggio,0.433,0.0001,0.328,,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,0.00022,,0.00048199999999999995,0.0,0.00062,100.0,51.8,19.0,0.9,0.9,0.0,26.2,,,,0.0,0.0,0.0,,0.873,0.0,0.0,999.99,535.0,667.0,999.99,632.0,894.0,999.99,999.99,374.0,540.0,88.0,999.99,566.0,955.0,999.99,987.0,901.0,229.0,98,Treo.,315.00
cuore di bovino (bos taurus),0.009,0.0046,0.203,0.023,0.32,0.00035999999999999997,0.022,0.0023799999999999997,1.13,0.0,0.0,0.09,0.47,0.52,,,0.84,,0.07,0.71,0.0,0.0,0.92,0.61,0.01,0.3,0.0,0.0,0.8,0.00058,0.0008900000000000001,0.008199999999999999,3e-06,0.006,0.0002,100.0,75.5,16.8,0.5,0.5,0.0,6.0,1.13,0.84,0.92,0.0,0.0,0.0,0.15,0.095,0.0,0.0,999.99,432.0,999.99,999.99,805.0,823.0,999.99,,893.0,999.99,175.0,994.0,399.0,857.0,999.99,605.0,810.0,213.0,100,Trip.,123.00
"lenticchie in scatola, scolate (lens esculenta)",0.027,0.0023,0.077,,0.161,0.00025,0.004,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,75.1,5.0,15.4,0.7,13.4,0.5,,,,4.2,0.36,3.79,0.0,0.357,0.0,,351.0,123.0,396.0,598.0,199.0,276.0,795.0,206.0,202.0,231.0,54.0,284.0,45.0,242.0,418.0,169.0,278.0,47.0,79,Solf.,82.00
"uova di gallina, intero, in polvere",0.201,0.0063,0.879,,0.556,,,,14.04,0.0,0.0,0.14,9.96,3.36,0.58,0.0,18.33,0.0,1.76,16.57,0.0,0.0,5.83,4.95,0.24,0.33,0.0,0.31,0.4,0.00038,0.00126,0.00042,0.0009419999999999999,0.0,,100.0,4.1,51.9,0.4,0.4,0.0,36.4,14.04,18.33,5.83,0.0,0.0,0.0,1.6,0.5730000000000001,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,537.00
pomodori maturi (solanum lycopersicum l.),0.009,0.0003,0.025,0.01,0.297,1e-05,0.0023,0.00011,0.04,0.0,0.0,0.0,0.03,0.01,,,0.05,,2.0,0.04,0.0,0.0,0.13,0.13,5.0,0.0,0.0,0.0,3.0,2e-05,,0.0008,0.00061,0.025,,100.0,94.0,1.0,3.5,3.5,0.0,0.2,0.04,0.05,0.13,2.0,0.37,1.67,0.0,0.006,0.0,1e-05,30.0,17.0,24.0,129.0,25.0,28.0,457.0,18.0,20.0,27.0,7.0,24.0,7.0,20.0,30.0,14.0,20.0,9.0,45,Leu.,19.00
"zampone, confezionato precotto [bollito per 20' dentro la confezione e scolato dal liquido prodotto con la cottura]",0.02,0.0014,0.096,,0.095,,,,8.48,0.0,0.0,0.38,5.43,2.57,0.04,0.0,12.71,0.0,0.85,11.54,0.25,0.0,3.44,2.91,0.18,0.16,0.0,0.0,0.4,0.00027,0.00028000000000000003,,,0.0,,100.0,50.0,21.4,0.0,0.0,0.0,25.9,8.48,12.71,3.44,0.0,0.0,0.0,0.095,0.6990000000000001,0.0,0.0,999.99,419.0,999.99,999.99,702.0,860.0,999.99,999.99,999.99,999.99,171.0,988.0,361.0,811.0,999.99,562.0,804.0,135.0,57,Trip.,319.00
"latte di vacca in polvere, parzialmente scremato",1.124,0.0007,0.879,,,,,,8.2,,,,,,,,4.0,,,,,,0.3,,,,,,,0.00032,0.0018000000000000002,,0.00020099999999999998,0.006,,100.0,4.2,28.8,50.2,50.2,0.0,12.7,8.2,4.0,0.3,0.0,0.0,0.0,0.058,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,418.00
"pomodori, passata (solanum lycopersicum l.)",0.016,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00053,0.008,,100.0,90.8,1.3,3.0,3.0,0.0,0.2,,,,1.5,,,0.0,0.16,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,18.00
"pesce semigrasso, filetti",0.03,,1.05,,,,,,1.94,0.0,0.0,0.23,1.32,0.35,0.0,0.0,2.78,0.0,0.46,1.72,0.07,0.24,2.21,0.42,0.05,0.07,0.46,0.95,1.1,,,,,0.0,,100.0,69.1,19.7,1.2,1.2,0.0,8.4,1.94,2.78,2.21,0.0,0.0,0.0,0.068,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,159.00
nutella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,57.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,533.00
bovino adulto o vitellone - tagli anteriori (bos taurus),0.01,0.0013,0.18,0.017,0.291,5e-05,,0.00447,2.2,0.0,0.0,0.15,1.14,0.79,0.0,0.0,2.27,0.22,0.15,1.54,0.0,0.17,1.55,0.77,0.13,0.23,0.09,0.09,0.7,0.0001,0.00015,0.0048,,0.0,,,,20.5,0.0,0.0,0.0,7.0,2.2,2.27,1.55,0.0,0.0,0.0,,0.043000000000000003,0.0,0.0,,,,,,,,,,,,,,,,,,,83,Trip.,145.00
"vitello, filetto crudo (bos taurus)",0.014,0.0023,0.214,0.025,0.36,5.9999999999999995e-05,0.006,0.0028,1.14,0.0,0.0,0.08,0.68,0.33,0.0,0.0,1.29,0.04,0.16,1.06,0.0,0.0,0.11,0.05,0.03,0.0,0.0,0.0,0.1,0.00015,0.00026000000000000003,0.0063,,0.0,,100.0,76.9,20.7,0.0,0.0,0.0,2.7,1.14,1.29,0.11,0.0,0.0,0.0,0.07100000000000001,0.089,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,107.00
"pasta all'uovo secca, cotta [bollita in acqua distillata senza aggiunta di sale]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,67.2,4.3,25.9,0.7,23.0,0.8,,,,1.1,,,0.031,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,122.00
formaggi magri,0.43,0.0003,0.665,,,,,,10.0,,,,,,,,4.0,,,,,,1.0,,,,,,,2e-05,0.0002,0.0001,0.00023999999999999998,0.0,,100.0,56.4,14.7,6.5,6.5,0.0,16.0,10.0,4.0,1.0,0.0,0.0,0.0,0.08,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,220.00
"coratella di agnello  [cuore, polmoni, fegato, milza, reni] (ovis agnus)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,77.2,15.7,1.0,1.0,0.0,4.7,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,109.00
olio di girasole (helianthus annuus),0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,11.24,0.0,0.0,0.0,5.92,4.78,0.54,0.0,33.37,0.0,0.27,32.91,0.19,0.0,50.22,49.89,0.33,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.068,100.0,,0.0,0.0,0.0,0.0,99.9,11.24,33.37,50.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,899.00
"gelato confezionato- vaniglia, in vaschetta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,63.5,2.7,25.7,25.7,,6.7,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,167.00
avena (avena sativa),0.177,0.004719999999999999,0.0007,0.0039700000000000004,0.429,0.429,,0.054,1.21,0.0,0.02,0.01,1.03,0.06,,,2.17,,0.01,2.16,,,2.53,2.42,0.11,,,,2.0,0.00076,0.00472,0.00076,1.3e-07,0.00096,0.00062,100.0,8.22,16.89,55.67,5.0,,6.9,1.21,2.17,2.53,10.6,,,0.0,0.002,,,701.0,405.0,999.99,999.99,575.0,750.0,999.99,934.0,841.0,881.0,408.0,937.0,312.0,694.0,999.99,573.0,895.0,234.0,71,lisina,389.00
croissants,0.08,0.002,0.13,,0.14,,,,11.65,1.61,0.51,1.84,5.02,2.25,,,5.52,,0.42,4.82,1.0,0.0,1.09,0.79,0.28,0.06,0.03,0.02,0.0,0.00017999999999999998,0.00016,0.002,2.1e-05,0.0,,100.0,31.1,8.3,38.0,1.1,33.5,20.3,11.65,5.52,1.09,1.6,,,0.075,0.39,0.0,,329.0,187.0,339.0,501.0,284.0,440.0,999.99,778.0,288.0,325.0,172.0,410.0,175.0,365.0,623.0,271.0,416.0,99.0,69,lisina,358.00
pizza bianca,0.02,0.0011,0.039,0.015,0.099,,,0.00031,,,,,,,,,,,,,,,,,,,,,,6e-05,5e-05,0.0005,0.0,0.0,,100.0,27.8,7.9,57.9,2.1,50.7,5.9,,,,2.3,1.16,1.11,0.0,0.789,0.0,,164.0,173.0,277.0,356.0,222.0,418.0,999.99,910.0,285.0,258.0,190.0,410.0,127.0,330.0,595.0,217.0,417.0,74.0,36,Lis.,302.00
anguilla di mare (anguilla anguilla),0.017,0.0006,0.223,,0.27,,,,5.27,0.0,0.0,0.57,3.43,0.85,0.0,0.0,8.58,0.0,1.72,6.57,0.24,0.05,4.56,0.43,0.21,0.47,0.0,0.0,0.9,0.00017999999999999998,0.00032,0.0026000000000000003,0.009800999999999999,0.002,,70.0,62.8,14.6,0.7,0.7,0.0,19.6,5.27,8.58,4.56,0.0,0.0,0.0,0.088,0.08700000000000001,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,237.00
cacioricotta di capra,0.396,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,68.4,11.9,0.5,0.5,0.0,14.3,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,178.00
ribes (ribes nigrun; ribes rubrum),0.06,0.0013,0.043,0.013,0.37,0.0001,0.0006,0.00023,0.01,0.0,0.0,0.0,0.01,3.0,,,0.02,,1.0,0.02,0.0,0.0,0.08,0.05,0.03,0.0,0.0,0.0,5.1,3e-05,6e-05,0.0003,1.7e-05,0.2,0.0001,98.0,77.4,0.9,6.6,6.6,0.0,0.2,0.01,0.02,0.08,3.6,,,0.0,0.003,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,28.00
prugne secche (prunus domestica),0.059,0.0039,0.085,,0.824,,,,,,,,,,,,,,,,,,,,,,,,,0.00017999999999999998,2e-05,0.001,1.8999999999999998e-05,0.003,,88.0,29.3,2.2,55.0,55.0,0.0,0.5,,,,8.4,3.6,4.84,0.0,0.008,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,220.00
olio di oliva (olea europeae l.),0.0,0.0001,0.0,0.0,0.0,0.0,0.0,5.9999999999999995e-05,16.16,0.0,0.0,0.0,13.67,2.23,0.17,0.09,74.45,0.0,0.82,73.63,0.0,0.0,8.84,7.85,0.99,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3e-06,0.0,0.0185,100.0,,0.0,0.0,0.0,0.0,99.9,16.16,74.45,8.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,899.00
marsala all'uovo,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,100.0,72.8,,12.4,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,14.8,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,150.00
"acciuga o alice, sott'olio (engraulis enchrasicholus)",0.044,0.0013,0.351,,0.7,,,,2.2,0.0,0.02,0.42,1.32,0.42,,,3.77,,0.59,2.94,9.0,0.16,2.56,0.36,0.01,0.01,0.76,1.29,1.1,6e-05,0.0002,0.006500000000000001,5.8e-05,0.0,,100.0,56.0,25.9,0.2,0.2,0.0,11.3,2.2,3.77,2.56,0.0,0.0,0.0,0.114,0.48,0.0,0.0,999.99,850.0,999.99,999.99,999.99,999.99,999.99,999.99,999.99,999.99,310.0,999.99,855.0,999.99,999.99,975.0,999.99,324.0,101,triptofano,206.00
mapo (citrus tangelo),0.032,0.0003,0.019,0.012,0.21,2e-05,0.0005,0.00023999999999999998,0.02,0.0,0.0,1.0,0.02,1.0,,,0.03,,4.0,0.03,0.0,0.0,0.03,0.02,0.01,0.0,0.0,0.0,1.6,8e-05,7.000000000000001e-05,0.0003,1.8e-05,0.08,0.00024,80.0,85.0,0.9,11.5,11.5,0.0,0.3,0.02,0.03,0.03,2.3,0.8,1.5,0.0,0.001,0.0,0.0,,,,,,,,,,,,,,,,,,,,,46.00
"merluzzo o nasello, baccala' secco (merluccius merluccius)",,,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,75.0,52.4,29.0,0.0,0.0,0.0,1.7,,,,0.0,0.0,0.0,0.082,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,131.00
